Sentiment,Location,DateTime
"The strawberry cheesecake flavor was heavenly.","Sydney","2023-04-05T10:40:00"
"Gelato tasted authentic. Smooth finish.","Toronto","2023-04-06T10:50:00"
"No complaints. Everything was tidy.","Berlin","2023-04-07T11:00:00"
"I had the caramel swirl. Simply divine.","Madrid","2023-04-08T11:10:00"
"Music was calming. Stayed longer than planned.","Rome","2023-04-09T11:20:00"
"They ran out of waffle cups. Paper cups were fine.","Chicago","2023-04-10T11:30:00"
"Hot tea was bland. Next time I'll skip it.","Los Angeles","2023-04-11T11:40:00"
"Friendly cashier. The store smelled inviting.","Seoul","2023-04-12T11:50:00"
"Saw a bit of trash on tables. Not ideal.","Beijing","2023-04-13T12:00:00"
"Ordered the brownie sundae. It was massive.","Singapore","2023-04-14T12:10:00"
"Cozy corner seat. Enjoyed the atmosphere.","Dubai","2023-04-15T12:20:00"
"Wish they offered lactose-free milkshakes.","Mexico City","2023-04-16T12:30:00"
"Paid extra for toppings. Tastes were worth it.","Barcelona","2023-04-17T12:40:00"
"Loved their unique flavors. Will return soon.","Amsterdam","2023-04-18T12:50:00"
"Cleaner than most places. Staff was attentive.","Vienna","2023-04-19T13:00:00"
"My cappuccino was bitter. Could improve.","Prague","2023-04-20T13:10:00"
"Chocolate chips were fresh. Crisp and tasty.","Mumbai","2023-04-21T13:20:00"
"Picked up a cone for the road. Satisfied.","Hong Kong","2023-04-22T13:30:00"
"Kids liked the bright murals. Family friendly.","Sao Paulo","2023-04-23T13:40:00"
"Scoops were large. Great value for money.","Buenos Aires","2023-04-24T13:50:00"
"Tried the new salted caramel. Perfect balance.","Vancouver","2023-04-25T14:00:00"
"Warm service. Fresh scoops.","New York","2023-05-01T10:00:00"
"Got a hot cocoa. It was overly sweet.","London","2023-05-02T10:10:00"
"Tables were messy. Staff apologized quickly.","Tokyo","2023-05-03T10:20:00"
"Loved the sugar-free option. Tasted great.","Paris","2023-05-04T10:30:00"
"The place was crowded. Still got served fast.","Sydney","2023-05-05T10:40:00"
"Tried the coconut flavor. Refreshing twist.","Toronto","2023-05-06T10:50:00"
"Floors looked sticky. Maybe a quick mop needed.","Berlin","2023-05-07T11:00:00"
"My espresso was excellent. Ice cream was good too.","Madrid","2023-05-08T11:10:00"
"Family enjoyed every bite. Will be back.","Rome","2023-05-09T11:20:00"
"Strawberry milkshake was thick. Loved it.","Chicago","2023-05-10T11:30:00"
"They had a live musician. Fun vibe.","Los Angeles","2023-05-11T11:40:00"
"Parking was tough. Inside was nice though.","Seoul","2023-05-12T11:50:00"
"Ordered a small cone. It was huge.","Beijing","2023-05-13T12:00:00"
"All the flavors seemed appealing. Hard to choose.","Singapore","2023-05-14T12:10:00"
"Staff was patient with my kids. Much appreciated.","Dubai","2023-05-15T12:20:00"
"I spotted a few spills. Cleanliness could be better.","Mexico City","2023-05-16T12:30:00"
"Portion sizes were fair. Good value.","Barcelona","2023-05-17T12:40:00"
"Loved their iced coffee. Perfect temperature.","Amsterdam","2023-05-18T12:50:00"
"They offered a free topping. Kind gesture.","Vienna","2023-05-19T13:00:00"
"Chaotic line. Could use better organization.","Prague","2023-05-20T13:10:00"
"Mango sorbet was tangy. Very refreshing.","Mumbai","2023-05-21T13:20:00"
"I found a seat easily. Comfortable chairs.","Hong Kong","2023-05-22T13:30:00"
"Cookies and cream milkshake was thick. A treat.","Sao Paulo","2023-05-23T13:40:00"
"No complaints here. Just good ice cream.","Buenos Aires","2023-05-24T13:50:00"
"My cappuccino was lukewarm. Not so great.","Vancouver","2023-05-25T14:00:00"
"Their outdoor seating is lovely. Enjoyed the breeze.","New York","2023-06-01T10:00:00"
"Grabbed a mocha latte. Rich flavor.","London","2023-06-02T10:10:00"
"Birthday celebration here. Everyone was happy.","Tokyo","2023-06-03T10:20:00"
"Ordered hot tea. It lacked flavor.","Paris","2023-06-04T10:30:00"
"Banana split was huge. Enough to share.","Sydney","2023-06-05T10:40:00"
"Tables were clean. Staff was polite.","Toronto","2023-06-06T10:50:00"
"The new coconut crunch is amazing. I recommend it.","Berlin","2023-06-07T11:00:00"
"Waited a bit long. But the taste was worth it.","Madrid","2023-06-08T11:10:00"
"Kids made a mess. Staff was understanding.","Rome","2023-06-09T11:20:00"
"Not many flavor choices today. Decent quality though.","Chicago","2023-06-10T11:30:00"
"Loved their bubble gum flavor. Nostalgic.","Los Angeles","2023-06-11T11:40:00"
"Music was too loud. Hard to relax.","Seoul","2023-06-12T11:50:00"
"Helpful staff. They explained all the flavors.","Beijing","2023-06-13T12:00:00"
"Ice cream was runny. Perhaps a freezer issue.","Singapore","2023-06-14T12:10:00"
"Bright lighting. Good for photos.","Dubai","2023-06-15T12:20:00"
"The espresso was strong. Woke me right up.","Mexico City","2023-06-16T12:30:00"
"Ordered a hot chocolate. Perfectly hot.","Barcelona","2023-06-17T12:40:00"
"Wish they had lactose free whipped cream.","Amsterdam","2023-06-18T12:50:00"
"Small store but cozy. Loved the vibe.","Vienna","2023-06-19T13:00:00"
"Dark chocolate flavor was rich. Great aftertaste.","Prague","2023-06-20T13:10:00"
"Messy napkin dispensers. Minor annoyance.","Mumbai","2023-06-21T13:20:00"
"Loved their kid-friendly menu. My toddler was happy.","Hong Kong","2023-06-22T13:30:00"
"Salted caramel was a bit too salty. Maybe just me.","Sao Paulo","2023-06-23T13:40:00"
"The place smells like heaven. Loved every minute.","Buenos Aires","2023-06-24T13:50:00"
"Tried the fruit sorbet. Very refreshing in the heat.","Vancouver","2023-06-25T14:00:00"
"Pistachio was fantastic. Very creamy.","New York","2023-07-01T10:00:00"
"Air conditioning was weak. I felt warm inside.","London","2023-07-02T10:10:00"
"Ordered a cold brew. It was smooth.","Tokyo","2023-07-03T10:20:00"
"Saw a few dirty tables. They cleaned them eventually.","Paris","2023-07-04T10:30:00"
"The waffle cone was crisp. Good texture.","Sydney","2023-07-05T10:40:00"
"Double scoop portion was generous. Loved it.","Toronto","2023-07-06T10:50:00"
"The hot chocolate could have been hotter.","Berlin","2023-07-07T11:00:00"
"Staff was smiling. Positive energy.","Madrid","2023-07-08T11:10:00"
"Took home a tub. Everyone loved it.","Rome","2023-07-09T11:20:00"
"No seats available. Grabbed it to go.","Chicago","2023-07-10T11:30:00"
"Cookies and cream was delightful. Perfect sweetness.","Los Angeles","2023-07-11T11:40:00"
"Music playlist was great. Enjoyed my stay.","Seoul","2023-07-12T11:50:00"
"The cappuccino machine was down. Had to settle for tea.","Beijing","2023-07-13T12:00:00"
"Good range of toppings. Tried them all.","Singapore","2023-07-14T12:10:00"
"I found it quite pricey. But good quality.","Dubai","2023-07-15T12:20:00"
"Banana split was well presented. Loved the whipped cream.","Mexico City","2023-07-16T12:30:00"
"Short wait time. Helpful staff.","Barcelona","2023-07-17T12:40:00"
"Mint flavor tasted artificial. Not my favorite.","Amsterdam","2023-07-18T12:50:00"
"Everything looked spotless. Impressive cleanliness.","Vienna","2023-07-19T13:00:00"
"The place was bustling. Great energy.","Prague","2023-07-20T13:10:00"
"Tried a coffee float. Such a treat.","Mumbai","2023-07-21T13:20:00"
"The restroom needed attention. Otherwise fine.","Hong Kong","2023-07-22T13:30:00"
"Unique flavors on the menu. Very innovative.","Sao Paulo","2023-07-23T13:40:00"
"Ordered a milkshake. It was a bit thin.","Buenos Aires","2023-07-24T13:50:00"
"Nice conversation with the manager. Friendly folks.","Vancouver","2023-07-25T14:00:00"
"Sunset lighting here is beautiful. Cozy atmosphere.","New York","2023-08-01T10:00:00"
"Hot latte was strong. Gave me a boost.","London","2023-08-02T10:10:00"
"Ran out of my favorite flavor. Disappointed.","Tokyo","2023-08-03T10:20:00"
"Chairs were uncomfortable. Could not sit long.","Paris","2023-08-04T10:30:00"
"Triple chocolate sundae was epic. Worth the cost.","Sydney","2023-08-05T10:40:00"
"No vegan options. My friend was sad.","Toronto","2023-08-06T10:50:00"
"Loved their freshly baked waffle cones. Crisp and tasty.","Berlin","2023-08-07T11:00:00"
"Store seemed short-staffed. Long wait.","Madrid","2023-08-08T11:10:00"
"The cappuccino had perfect foam. Great job.","Rome","2023-08-09T11:20:00"
"Brought kids for a treat. They loved it.","Chicago","2023-08-10T11:30:00"
"Parking was easy. The interior felt welcoming.","Los Angeles","2023-08-11T11:40:00"
"Clean floors. Good first impression.","Seoul","2023-08-12T11:50:00"
"Music was upbeat. Perfect for a summer day.","Beijing","2023-08-13T12:00:00"
"Ordered a fruit salad. Fresh and cool.","Singapore","2023-08-14T12:10:00"
"Trash bin was overflowing. Needs quick attention.","Dubai","2023-08-15T12:20:00"
"The chocolate milkshake was super thick. A delight.","Mexico City","2023-08-16T12:30:00"
"Calorie counts were visible. Helpful for my diet.","Barcelona","2023-08-17T12:40:00"
"The staff recommended the daily special. Yummy choice.","Amsterdam","2023-08-18T12:50:00"
"No seating left inside. Had it outside.","Vienna","2023-08-19T13:00:00"
"Loved the classic vanilla. Rich and creamy.","Prague","2023-08-20T13:10:00"
"They had a new matcha flavor. Mild and sweet.","Mumbai","2023-08-21T13:20:00"
"Floors needed sweeping. Still a great place.","Hong Kong","2023-08-22T13:30:00"
"Tiramisu flavor was on point. So good.","Sao Paulo","2023-08-23T13:40:00"
"Came for a quick break. Great service.","Buenos Aires","2023-08-24T13:50:00"
"Paid by card. Transaction was smooth.","Vancouver","2023-08-25T14:00:00"
"Morning coffee run. Loved the aroma.","New York","2023-09-01T10:00:00"
"Portions felt small. Still tasted good.","London","2023-09-02T10:10:00"
"Indoor seating was cozy. Good AC.","Tokyo","2023-09-03T10:20:00"
"Tried their chocolate croissant. It was flaky.","Paris","2023-09-04T10:30:00"
"Staff forgot my sprinkles. Slight letdown.","Sydney","2023-09-05T10:40:00"
"Impeccably clean counters. Appreciated it.","Toronto","2023-09-06T10:50:00"
"Waited 10 minutes. Staff was apologetic.","Berlin","2023-09-07T11:00:00"
"I had a green tea latte. Refreshingly different.","Madrid","2023-09-08T11:10:00"
"Music was a bit dull. Ambience was okay.","Rome","2023-09-09T11:20:00"
"Extra sauce was free. Bonus points!","Chicago","2023-09-10T11:30:00"
"Came late. They still had plenty of flavors.","Los Angeles","2023-09-11T11:40:00"
"The shop smelled lovely. Freshly baked waffle cones.","Seoul","2023-09-12T11:50:00"
"Chairs were a bit dusty. But the ice cream was nice.","Beijing","2023-09-13T12:00:00"
"Ordered a large cup. Perfect portion size.","Singapore","2023-09-14T12:10:00"
"The staff seemed stressed. But friendly enough.","Dubai","2023-09-15T12:20:00"
"Caramel cappuccino was fantastic. I'd order again.","Mexico City","2023-09-16T12:30:00"
"Self-serve napkins were out. Had to ask.","Barcelona","2023-09-17T12:40:00"
"Enjoyed their seasonal pumpkin flavor. Tastes like fall.","Amsterdam","2023-09-18T12:50:00"
"Store was quiet. Relaxing vibe.","Vienna","2023-09-19T13:00:00"
"No line at all. Got served quick.","Prague","2023-09-20T13:10:00"
"They gave me a sample. Helped me choose.","Mumbai","2023-09-21T13:20:00"
"Flavor was too sweet for me. Others might like it.","Hong Kong","2023-09-22T13:30:00"
"Loved their chocolate dip. Crisp shell.","Sao Paulo","2023-09-23T13:40:00"
"Saw a small spill. Quickly cleaned up.","Buenos Aires","2023-09-24T13:50:00"
"I appreciate the bright lighting. Easy to read menu.","Vancouver","2023-09-25T14:00:00"
"Warm inside on a chilly day. Perfect stop.","New York","2023-10-01T10:00:00"
"Had the caramel swirl. Sweet and smooth.","London","2023-10-02T10:10:00"
"They lacked enough staff. Long wait time.","Tokyo","2023-10-03T10:20:00"
"Liked their new autumn flavors. Cozy vibe.","Paris","2023-10-04T10:30:00"
"Tables were okay. Could be cleaner.","Sydney","2023-10-05T10:40:00"
"Ordered a mocha to go. Tasty treat.","Toronto","2023-10-06T10:50:00"
"The place smelled delicious. Waffles must be fresh.","Berlin","2023-10-07T11:00:00"
"Kid-friendly environment. My toddler enjoyed the tiny cone.","Madrid","2023-10-08T11:10:00"
"Waited for a seat. Popular spot.","Rome","2023-10-09T11:20:00"
"Tiramisu scoop was strong in flavor. Loved it.","Chicago","2023-10-10T11:30:00"
"Crowded but lively. Good music selection.","Los Angeles","2023-10-11T11:40:00"
"They forgot my spoon. Minor inconvenience.","Seoul","2023-10-12T11:50:00"
"Nice staff. They remembered my usual order.","Beijing","2023-10-13T12:00:00"
"I found the floor slippery. Careful steps.","Singapore","2023-10-14T12:10:00"
"Ordered a warm brownie sundae. Comforting treat.","Dubai","2023-10-15T12:20:00"
"Great alternative milks. Tried oat in my latte.","Mexico City","2023-10-16T12:30:00"
"Cashier was polite. Quick checkout.","Barcelona","2023-10-17T12:40:00"
"The orchard fruit flavor was unique. Tasty too.","Amsterdam","2023-10-18T12:50:00"
"Wish they had more sugar-free choices.","Vienna","2023-10-19T13:00:00"
"The place was small. Seating was limited.","Prague","2023-10-20T13:10:00"
"Pumpkin spice latte was on point. A fall favorite.","Mumbai","2023-10-21T13:20:00"
"Heard about this place from a friend. Not disappointed.","Hong Kong","2023-10-22T13:30:00"
"Cone was slightly stale. Not the best.","Sao Paulo","2023-10-23T13:40:00"
"Bright interior. Easy to spot from outside.","Buenos Aires","2023-10-24T13:50:00"
"My cappuccino was frothy. Perfectly made.","Vancouver","2023-10-25T14:00:00"
"Grabbed an ice cream cake. Everyone loved it.","New York","2023-11-01T10:00:00"
"Lights were dim. Cozy ambiance.","London","2023-11-02T10:10:00"
"Decent selection. Tried the lemon sorbet.","Tokyo","2023-11-03T10:20:00"
"They offered free samples. Helped me decide.","Paris","2023-11-04T10:30:00"
"No complaints. Quick service and polite staff.","Sydney","2023-11-05T10:40:00"
"The floors were squeaky clean. Impressive.","Toronto","2023-11-06T10:50:00"
"I expected bigger scoops. Tasted good though.","Berlin","2023-11-07T11:00:00"
"Tried a cinnamon latte. Perfect for fall.","Madrid","2023-11-08T11:10:00"
"They had seasonal flavors. Eggnog was interesting.","Rome","2023-11-09T11:20:00"
"Ordered a takeout cup. Minimal wait.","Chicago","2023-11-10T11:30:00"
"So many sprinkles. My kids were thrilled.","Los Angeles","2023-11-11T11:40:00"
"Wished for more napkins. None at the table.","Seoul","2023-11-12T11:50:00"
"Loved the peppermint mocha flavor. Very festive.","Beijing","2023-11-13T12:00:00"
"Staff recommended the new cookie crunch. Great call.","Singapore","2023-11-14T12:10:00"
"Music was festive. Loved the holiday spirit.","Dubai","2023-11-15T12:20:00"
"Saw a staff member cleaning thoroughly. Good sign.","Mexico City","2023-11-16T12:30:00"
"The location is convenient. Quick stop after work.","Barcelona","2023-11-17T12:40:00"
"Cappuccino was a bit bitter. Might just be me.","Amsterdam","2023-11-18T12:50:00"
"The store was half-empty. Peaceful environment.","Vienna","2023-11-19T13:00:00"
"I asked for extra syrup. They obliged easily.","Prague","2023-11-20T13:10:00"
"Slightly overpriced. But quality is good.","Mumbai","2023-11-21T13:20:00"
"My toddler spilled her cone. Staff was kind.","Hong Kong","2023-11-22T13:30:00"
"The new sundae bowl is adorable. Loved the design.","Sao Paulo","2023-11-23T13:40:00"
"Pumpkin spice was still available. Surprising but tasty.","Buenos Aires","2023-11-24T13:50:00"
"I came for a milkshake. Left satisfied.","Vancouver","2023-11-25T14:00:00"
"Festive decorations. Really felt like the holidays.","New York","2023-12-01T10:00:00"
"Hot coffee kept me warm. Great on a cold day.","London","2023-12-02T10:10:00"
"Limited holiday flavors. Still found something nice.","Tokyo","2023-12-03T10:20:00"
"Bought gift cards. Friendly staff assisted me.","Paris","2023-12-04T10:30:00"
"They had a holiday special. Great discount.","Sydney","2023-12-05T10:40:00"
"The floor was sticky. Probably from spilled cocoa.","Toronto","2023-12-06T10:50:00"
"Kids enjoyed the candy cane topping. Very cute.","Berlin","2023-12-07T11:00:00"
"Outdoor seating was closed. Understandable in winter.","Madrid","2023-12-08T11:10:00"
"The place smelled of gingerbread. Lovely ambiance.","Rome","2023-12-09T11:20:00"
"Mint chocolate chip had real mint leaves. Impressive.","Chicago","2023-12-10T11:30:00"
"Ordered a large latte. Got a medium by mistake.","Los Angeles","2023-12-11T11:40:00"
"Festive music playing. I felt cheerful.","Seoul","2023-12-12T11:50:00"
"Sampled the eggnog scoop. Surprised by the taste.","Beijing","2023-12-13T12:00:00"
"They had cozy blankets on chairs. Nice touch.","Singapore","2023-12-14T12:10:00"
"Cookies were available. Great combo with coffee.","Dubai","2023-12-15T12:20:00"
"Countertops were spotless. Staff was efficient.","Mexico City","2023-12-16T12:30:00"
"Store was crowded. People love holiday treats.","Barcelona","2023-12-17T12:40:00"
"Gingerbread flavor was amazing. My new favorite.","Amsterdam","2023-12-18T12:50:00"
"Cashier seemed tired. But still polite.","Vienna","2023-12-19T13:00:00"
"Fireplace display was decorative. Warm feeling inside.","Prague","2023-12-20T13:10:00"
"Gifted a friend a box of assorted scoops. They loved it.","Mumbai","2023-12-21T13:20:00"
"My cappuccino foam was too thick. Drank it anyway.","Hong Kong","2023-12-22T13:30:00"
"Saw a dog waiting outside. Very pet friendly area.","Sao Paulo","2023-12-23T13:40:00"
"They offered a free candy cane. Sweet gesture.","Buenos Aires","2023-12-24T13:50:00"
"Left with a smile. Perfect end to the year.","Vancouver","2023-12-25T14:00:00"
